molecule,peak_value,unit,rel_intensity,source
quercetin,802.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,805.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,817.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,828.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,855.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,857.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,904.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,929.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1010.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1028.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1087.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1096.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1118.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1130.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1137.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1163.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1165.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1192.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1200.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,1207.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
